Date,Open,High,Low,Close,Adj Close,Volume
2006-01-03,52.290001,53.180000,52.230000,53.119999,53.119999,4606500
2006-01-04,52.869999,53.340000,52.619999,53.299999,53.299999,5287900
2006-01-05,52.560001,52.720001,52.099998,52.340000,52.340000,7661800
2006-01-06,53.139999,53.869999,53.040001,53.720001,53.720001,4629800
2006-01-09,53.459999,54.990002,53.310001,54.599998,54.599998,5394200
2006-01-10,53.959999,54.380001,53.759998,54.060001,54.060001,5700600
2006-01-11,54.240002,54.770000,54.070000,54.529999,54.529999,4209500
2006-01-12,54.209999,54.639999,54.009998,54.430000,54.430000,3603000
2006-01-13,54.549999,55.560001,54.509998,55.439999,55.439999,4346200
2006-01-17,55.250000,55.869999,55.029999,55.259998,55.259998,5130400
2006-01-18,54.639999,54.730000,54.009998,54.070000,54.070000,4565200
2006-01-19,54.959999,55.709999,54.950001,55.590000,55.590000,5290700
2006-01-20,56.119999,56.599998,55.020000,55.200001,55.200001,7270600
2006-01-23,55.590000,55.900002,55.259998,55.770000,55.770000,4968500
2006-01-24,55.500000,55.730000,55.270000,55.730000,55.730000,3419100
2006-01-25,56.220001,56.529999,55.740002,56.139999,56.139999,10005200
2006-01-26,55.529999,55.910000,55.270000,55.880001,55.880001,4306500
2006-01-27,55.959999,56.230000,55.470001,55.630001,55.630001,4285400
2006-01-30,55.970001,56.700001,55.950001,56.680000,56.680000,3969200
2006-01-31,56.570000,57.049999,56.529999,56.700001,56.700001,5011700
2006-02-01,56.790001,56.900002,56.080002,56.700001,56.700001,4700900
2006-02-02,57.040001,57.299999,56.669998,56.980000,56.980000,5114300
2006-02-03,57.070000,57.200001,56.250000,56.500000,56.500000,5054000
2006-02-06,56.759998,57.150002,56.650002,56.720001,56.720001,3455200
2006-02-07,55.880001,55.919998,54.330002,54.599998,54.599998,10197200
2006-02-08,54.700001,55.080002,54.410000,54.830002,54.830002,5375900
2006-02-09,55.720001,56.450001,55.549999,56.180000,56.180000,5299300
2006-02-10,55.740002,55.740002,54.419998,54.790001,54.790001,4328600
2006-02-13,54.639999,54.900002,53.549999,53.720001,53.720001,5122900
2006-02-14,53.939999,54.529999,53.680000,54.490002,54.490002,3611000
2006-02-15,54.299999,54.299999,53.330002,53.759998,53.759998,4813900
2006-02-16,53.419998,54.540001,53.419998,54.520000,54.520000,5589300
2006-02-17,54.669998,55.200001,54.599998,54.959999,54.959999,3927200
2006-02-21,55.139999,55.340000,55.000000,55.119999,55.119999,3352600
2006-02-22,54.970001,55.349998,54.860001,55.340000,55.340000,3835700
2006-02-23,55.080002,55.110001,54.549999,54.639999,54.639999,2428700
2006-02-24,55.209999,55.709999,55.029999,55.639999,55.639999,4927100
2006-02-27,55.259998,55.320000,55.009998,55.220001,55.220001,2291600
2006-02-28,55.430000,56.070000,55.299999,56.070000,56.070000,3425900
2006-03-01,56.020000,56.419998,55.919998,56.099998,56.099998,4266500
2006-03-02,56.150002,56.820000,55.990002,56.740002,56.740002,3862000
2006-03-03,56.480000,56.540001,56.200001,56.279999,56.279999,3102800
2006-03-06,56.410000,56.450001,54.959999,55.230000,55.230000,5432000
2006-03-07,55.330002,55.330002,54.549999,54.950001,54.950001,4385400
2006-03-08,54.209999,54.270000,53.560001,53.970001,53.970001,6712100
2006-03-09,54.599998,54.779999,54.130001,54.240002,54.240002,3799200
2006-03-10,53.220001,53.970001,53.150002,53.830002,53.830002,6489200
2006-03-13,54.090000,54.459999,53.919998,54.310001,54.310001,2425700
2006-03-14,54.230000,55.000000,54.200001,54.869999,54.869999,2671700
2006-03-15,55.410000,55.439999,54.980000,55.119999,55.119999,4706800
2006-03-16,55.150002,55.340000,54.490002,55.340000,55.340000,3342200
2006-03-17,55.279999,55.330002,54.930000,55.119999,55.119999,2236000
2006-03-20,55.009998,55.400002,54.980000,55.169998,55.169998,1884000
